English: WH,English: Y/N,Mandarin: WH,Mandarin: Y/N,id,language,questions
1.4050423062621755e-15,1.4909216101284905e-15,2.009031904306745e-15,3.655999483060961e-15,31,English,Y/N
3.445785473702193e-15,2.9535261432426005e-15,2.8584448395674343e-15,4.707437801041115e-15,32,English,WH
1.2004836312614733e-15,1.504162247300827e-15,1.1342698905380331e-15,2.1575812723709913e-15,33,English,WH
2.3470282413000752e-15,3.034522049078484e-15,2.1474026341794585e-15,5.010464761957844e-15,34,English,WH
1.32985840192058e-15,7.922808088726308e-16,1.2810895369714572e-15,1.6941949665087552e-15,35,English,WH
9.754811970773053e-17,1.6630493542992876e-16,1.1890002117578107e-16,1.3143203330146718e-16,36,English,Y/N
5.30630990529748e-16,3.863196362986455e-16,6.657951238796389e-16,6.614505634470729e-16,37,English,Y/N
1.6252763234514098e-15,1.816835984191202e-15,1.5762636676883812e-15,2.6955660799671945e-15,38,English,Y/N
1.4362734742468129e-15,2.330381087244242e-15,1.7607248534822453e-15,5.2852363481210885e-15,39,English,Y/N
1.6670066254406321e-15,1.4741670516875656e-15,1.281523220125436e-15,1.9203262686518778e-15,40,English,WH
1.6787032588912606e-15,2.005144958309978e-15,1.7781061491656683e-15,4.3828031261052955e-15,41,English,Y/N
4.241833031187507e-15,4.41619150884287e-15,3.125527110361707e-15,6.330476589647601e-15,42,English,Y/N
1.1495043408776932e-15,5.602230593288546e-16,1.180309694835266e-15,1.678100182334036e-15,43,English,WH
1.7753323513549122e-15,8.916001756785153e-16,1.0829198021802564e-15,1.1239896727173898e-15,44,English,WH
1.6664286001325977e-15,1.0443415740569882e-15,9.578813894963262e-16,8.175369976807036e-16,45,English,Y/N
2.106033042390241e-15,2.412713731692404e-15,2.4458342873915846e-15,4.314431893011407e-15,46,English,WH
2.0740293298330408e-15,2.6235008502745658e-15,1.7196123372450438e-15,2.966689194931291e-15,47,English,Y/N
2.0310103176099703e-16,2.204995885813244e-16,1.9615792630817797e-16,1.5684148576258893e-16,48,English,WH
8.41397186171984e-17,5.780428383553089e-17,5.1796767317663117e-17,1.3067760891472478e-17,49,English,WH
1.2189895748150989e-15,9.810854749478038e-16,9.440369822983167e-16,7.666464325716136e-16,50,English,Y/N
3.939315111415352e-16,9.207303977616448e-17,2.755484449837579e-16,1.189856930649526e-16,51,English,WH
1.0964552948561569e-15,9.774728878350079e-16,1.2707712513038205e-15,2.2754709466727832e-15,52,English,WH
2.9889336251157764e-15,1.981526487531122e-15,2.641363224758211e-15,3.3332570813985078e-15,53,English,WH
5.525248515830388e-16,7.6663168041809e-16,5.860890081232028e-16,1.5691097035048816e-15,54,English,Y/N
2.8718019566521764e-15,2.0555936514469307e-15,1.893848577807695e-15,2.185618385815976e-15,55,English,Y/N
2.232928047382606e-15,1.3777158962176214e-15,1.910816769770497e-15,3.18225926811087e-15,56,English,WH
1.0709075457296166e-15,1.2768814936728053e-15,9.136848749939707e-16,1.5656384106364065e-15,57,English,WH
3.4050705955675116e-16,2.252769691869599e-16,2.1676288957642853e-16,9.156503350325542e-17,58,English,Y/N
3.506052313643401e-16,8.423247431663777e-16,4.970856980616806e-16,6.342459912444112e-16,59,English,Y/N
1.341197643397815e-15,1.0125048286292545e-15,9.520483093930943e-16,1.2220875027539461e-15,60,English,WH
5.483225314149869e-16,8.962459790078367e-16,8.596022339117769e-16,9.563663676803615e-16,61,English,Y/N
1.7598728529449472e-15,1.833823242891287e-15,1.837990721959361e-15,2.0435067943336087e-15,62,English,Y/N
2.6865947659077806e-16,2.3636707039855947e-16,3.1584297152429165e-16,4.782014813552041e-16,63,English,WH
1.0572961941054522e-15,4.700007881491585e-16,3.8328570426918067e-16,2.288199606183383e-16,64,English,WH
1.535909221698192e-15,1.4252335096039897e-15,1.2919040436058408e-15,1.9177706164895046e-15,65,English,WH
9.0656248255104e-16,4.516407940535735e-16,7.075005595009728e-16,5.848498945758384e-16,66,English,WH
9.80577904879396e-16,6.883705980885351e-16,8.537455413276421e-16,1.1444099380170831e-15,67,English,WH
1.7134697441258235e-15,2.2642344033933993e-15,1.785012181207133e-15,3.78692593354286e-15,68,English,Y/N
3.085301568204505e-15,2.3308273466777247e-15,1.9779995063239593e-15,2.792267609329347e-15,69,English,Y/N
1.7379208184519333e-15,1.6936930973334675e-15,1.5260174662420544e-15,1.5449689056873786e-15,70,English,WH
5.539935904343244e-16,5.722568176604331e-16,5.228103275539758e-16,1.0600859942280522e-15,71,English,Y/N
1.5583377158381125e-16,1.9372612143052404e-16,7.6355152892247e-17,8.334352926290859e-17,72,English,WH
5.947029972529647e-17,2.930259643340172e-17,2.1833365097153425e-17,1.1019421572065545e-17,73,English,Y/N
4.088298798060775e-16,2.7390030693681466e-16,2.4585527246866475e-16,2.602023746132973e-16,74,English,WH
3.1504185270569058e-15,3.791868919081634e-15,2.3526369359314353e-15,5.427559626650837e-15,75,English,Y/N
2.972524681787133e-16,5.07147607792782e-17,2.240259432783126e-16,1.2237397817006297e-16,76,English,WH
5.417799303598047e-16,5.399841857246702e-16,6.26243956813612e-16,1.0124275110150552e-15,77,English,WH
6.663452978352024e-16,6.030536119603208e-16,6.10046563737969e-16,1.007708717990724e-15,78,English,Y/N
1.0669357545295692e-16,8.732392589340145e-17,9.840166605376868e-17,6.849905474593023e-17,79,English,WH
1.6609843468601843e-16,8.127307232891949e-17,8.005130239579395e-17,2.8993741242268413e-17,80,English,WH
1.4856231808396402e-15,1.2995058453314747e-15,1.1677220694228739e-15,1.1561533476285185e-15,81,English,WH
7.569772826146372e-16,7.488958620307903e-16,5.353061951569435e-16,4.760703156682258e-16,82,English,WH
1.73572957571476e-17,3.644443802270893e-17,4.1940792484055466e-17,1.572019920066385e-17,83,English,Y/N
1.9256064408419685e-16,2.127019003212865e-16,2.932501734722336e-16,1.7378435116250173e-16,84,English,Y/N
3.0100608045993943e-16,2.904896346168067e-16,2.299648383176068e-16,8.140067391034917e-17,85,English,WH
1.0178794575014601e-16,1.213356122874553e-16,1.0758884235855767e-16,5.1517318611430714e-17,86,English,Y/N
1.535462234744939e-15,2.32407339106725e-15,1.4373386716569736e-15,2.100043071939742e-15,87,English,WH
3.8310283123187954e-18,5.950830024214268e-18,7.276330963057438e-18,4.406280472128124e-18,88,English,WH
6.576303775646948e-16,1.0851809249515622e-15,5.184506271018533e-16,1.420558539473184e-15,89,English,WH
1.4269087807452452e-15,1.6910130045261877e-15,1.6936931985341733e-15,4.52753394348684e-15,90,English,WH
1.9368716345224815e-15,2.6500539485496526e-15,2.3600115805705633e-15,5.102381400671911e-15,91,English,Y/N
1.249399792108791e-15,8.953965084100847e-16,7.831920410996478e-16,7.86565601664893e-16,92,English,Y/N
2.1238135230420737e-17,2.3902042589666112e-17,2.7811754925459504e-17,1.2260732519906993e-17,93,English,Y/N
9.306543853556761e-16,9.313017322520506e-16,1.000805525463905e-15,2.5234313878505558e-15,94,English,Y/N
2.8227798203056824e-16,5.0768685866744e-16,3.2756010674738994e-16,4.224016788033349e-16,95,English,Y/N
2.62566730517829e-15,3.2830133947480507e-15,2.54740200639732e-15,6.8940758773245965e-15,96,English,WH
1.7110598936958601e-16,2.2304227189013164e-16,2.482684854675565e-16,2.2370417875631434e-16,97,English,Y/N
3.3936078162122903e-16,6.055364202709045e-16,3.644028018594146e-16,6.814481059382342e-16,98,English,Y/N
1.0982459844794435e-16,1.5386782550096353e-16,1.782654479838528e-16,1.9396575395230441e-16,99,English,Y/N
1.3528880840968349e-15,9.928496582702282e-16,6.223826305531964e-16,6.007336853139077e-16,100,English,WH
3.423311265093992e-15,3.2002134479607107e-15,2.238334325406991e-15,4.215004482585584e-15,101,English,WH
1.0842454328382905e-16,7.513594411988458e-17,1.2227073301066425e-16,1.2036038542477774e-16,102,English,WH
1.7342700227805458e-15,1.6763838874367826e-15,2.079871804972413e-15,3.8098180126084905e-15,103,English,Y/N
2.9111599385288637e-15,1.7405355666138815e-15,1.766770134043096e-15,2.1486669525663377e-15,104,English,Y/N
2.5232730545387317e-15,2.3370020671840008e-15,1.9933770020849186e-15,3.6516796782321085e-15,105,English,WH
1.8199892792891918e-16,1.458398680378554e-16,1.48459160203726e-16,7.711850064211759e-17,106,English,WH
1.6746447757020407e-15,1.9362095799449454e-15,1.8366816645272063e-15,3.0800736326759906e-15,107,English,WH
2.6599841221651004e-16,1.3385606800185868e-16,3.67116782617076e-16,4.966963692935802e-16,108,English,WH
1.1180769954638677e-15,8.160181052488476e-16,7.613567821065452e-16,8.624193950335341e-16,109,English,WH
3.0575766967540083e-16,2.6229932932931205e-16,1.348299272562059e-16,4.5912715710801166e-17,110,English,WH
1.888624867455676e-18,8.820522458911538e-18,6.764651340579687e-18,2.124512538543882e-18,111,English,WH
1.0144380860307617e-15,1.0014416418111882e-15,1.4805794417045624e-15,2.5217304564229544e-15,112,Mandarin,WH
8.034824862675208e-16,4.574719746692848e-16,3.920493653954569e-16,4.0865870348636106e-16,113,Mandarin,WH
8.913856717914194e-16,1.592399525880573e-15,7.295236533581109e-16,1.5126546599996233e-15,114,Mandarin,Y/N
1.5933834409659945e-15,1.2894231074433564e-15,1.9830323542932352e-15,2.8357266382921357e-15,115,Mandarin,WH
2.3791778436462545e-15,2.5415599731044617e-15,2.451689020082235e-15,4.763629557928661e-15,116,Mandarin,Y/N
1.3082310694889949e-16,2.8028293803691377e-16,1.831848123715538e-16,3.2256827632870795e-16,117,Mandarin,Y/N
4.440166202698924e-16,8.538659303003854e-16,3.994883550702948e-16,1.1847653878200152e-15,118,Mandarin,Y/N
3.2978182065817075e-15,3.8000227856978225e-15,3.2692114512412153e-15,7.361915364602439e-15,119,Mandarin,Y/N
6.982356423290601e-16,4.708230159118508e-16,7.243298625693435e-16,1.207932266470104e-15,120,Mandarin,WH
1.1093466751596786e-15,5.417157623036098e-16,9.73810167106247e-16,8.080454367279679e-16,121,Mandarin,WH
1.891358071148796e-15,2.1138918206632385e-15,2.0772872054909574e-15,3.980505410239728e-15,122,Mandarin,WH
3.0981619031445083e-15,3.618159536153641e-15,3.639073262218646e-15,8.548238367654857e-15,123,Mandarin,Y/N
1.3125027408105538e-15,1.7500552764333182e-15,1.363452557430496e-15,2.474786160330492e-15,124,Mandarin,Y/N
6.82247261698106e-16,7.2957921347008e-16,7.162785996752267e-16,1.7676565100819802e-15,125,Mandarin,WH
2.4016151456319e-15,2.371601539691089e-15,2.72311336909298e-15,5.988632464581026e-15,126,Mandarin,WH
5.827877963487452e-16,1.742730181380583e-16,3.649037286724128e-16,2.4360200459288056e-16,127,Mandarin,WH
7.5283612638084e-17,3.630890347437864e-17,9.134106898453604e-17,2.7683861090343395e-17,128,Mandarin,WH
9.420813980019264e-16,1.2413049594831669e-15,1.4231656098683876e-15,2.709399122997729e-15,129,Mandarin,WH
4.4175698239695446e-16,2.987375346796378e-16,5.996657188618197e-16,8.497510251423463e-16,130,Mandarin,WH
1.1711357874741604e-15,1.4227283289130635e-15,1.5773072275904787e-15,3.619693198403995e-15,131,Mandarin,WH
1.0983512130317113e-16,2.963673731289377e-16,1.5979709703927968e-16,4.2456385866256757e-16,132,Mandarin,WH
2.7819738789783985e-16,3.5082027486201225e-16,4.2672242258492237e-16,8.049593710734658e-16,133,Mandarin,WH
1.144473408242486e-15,1.3959757602461394e-15,1.1314756531576564e-15,2.803704398516523e-15,134,Mandarin,Y/N
3.856386060259984e-15,3.0035767793036736e-15,2.8766649730528274e-15,4.075841580999538e-15,135,Mandarin,Y/N
5.16476762129236e-16,6.611233935063878e-16,8.730039625842536e-16,1.7410095773301308e-15,136,Mandarin,Y/N
7.327276615723545e-16,9.367134378716274e-16,8.660019439597227e-16,2.0109964664293457e-15,137,Mandarin,Y/N
1.3814740287710303e-16,2.355835949936554e-16,1.9773942820435868e-16,1.4645208029968366e-16,138,Mandarin,Y/N
3.768016224657358e-16,6.451127021843663e-16,5.306760558100806e-16,8.276019989924815e-16,139,Mandarin,Y/N
7.241021461589328e-17,4.4839113064829066e-17,5.143330844871294e-17,2.7340413518594445e-17,140,Mandarin,Y/N
2.048250774304475e-15,1.4558185318148569e-15,1.5026857195502617e-15,1.6966250638825634e-15,141,Mandarin,Y/N
6.15616270104619e-16,8.111000047507931e-16,8.81732378053501e-16,1.7705731015626362e-15,142,Mandarin,Y/N
7.832596712554303e-16,4.963976415799374e-16,4.520440684275274e-16,3.6657638593944217e-16,143,Mandarin,Y/N
2.7489216479159135e-16,1.2503502105966873e-16,2.9412221201466504e-16,1.5050150864813696e-16,144,Mandarin,WH
2.169729459353958e-17,1.6731742051750483e-17,2.2230307135237718e-17,9.870395887231962e-18,145,Mandarin,WH
1.7318632849285851e-15,1.927071823025133e-15,2.04698064452538e-15,4.775526425907189e-15,146,Mandarin,WH
6.579888995290748e-17,1.0582824106943298e-16,1.2995941835959484e-16,1.5102239453454993e-16,147,Mandarin,Y/N
4.877128396318392e-16,3.330370139002675e-16,6.636314236378964e-16,7.684367064241814e-16,148,Mandarin,WH
1.9764310915356217e-15,1.6982550011770748e-15,1.847858458108759e-15,3.084631703116042e-15,149,Mandarin,WH
2.064146469670617e-17,1.897870348918925e-17,1.0309767812549043e-17,6.5869153466538295e-18,150,Mandarin,Y/N
1.800322204064759e-15,2.2842750671100438e-15,1.959724394908751e-15,3.8763673669979204e-15,151,Mandarin,Y/N
4.172237230401777e-18,2.650274550378433e-18,3.711242910842383e-18,5.546484716057307e-19,152,Mandarin,WH
1.6519797072985006e-16,1.242532867879788e-16,1.0782133576798113e-16,5.347996147006551e-17,153,Mandarin,WH
3.5474689861368204e-16,3.676037298886992e-16,3.61741597254542e-16,7.253070003005172e-16,154,Mandarin,WH
3.3694417951546797e-16,2.6703319591896023e-16,3.9079817044134864e-16,2.336436614771381e-16,155,Mandarin,Y/N
9.658897888193007e-16,1.774262647842257e-15,1.508422298352302e-15,3.3772636126777786e-15,156,Mandarin,Y/N
5.4600521404310703e-17,2.380129725568113e-17,9.448167777818662e-17,9.208730692421253e-17,157,Mandarin,WH
1.777926582768298e-15,1.9977375689887115e-15,1.717475320996588e-15,4.507276602964619e-15,158,Mandarin,Y/N
2.049677775681665e-15,1.7505809111548525e-15,1.4034695843825246e-15,1.5283262900745347e-15,159,Mandarin,WH
1.5586287889761602e-15,1.0550967487706142e-15,1.9994336831214847e-15,2.3260407519950802e-15,160,Mandarin,Y/N
2.189778714061284e-16,5.921812570609324e-16,4.181647835535735e-16,6.143675620176983e-16,161,Mandarin,Y/N
1.0070350769335511e-15,8.469335225167796e-16,1.0152814744591553e-15,1.1608926672431279e-15,162,Mandarin,WH
8.817444075134869e-16,1.2487532849191096e-15,1.3324276405179149e-15,2.7406041228565853e-15,163,Mandarin,Y/N
1.1057094627750404e-15,9.912875500890705e-16,1.4226262418200803e-15,1.7636686541817276e-15,164,Mandarin,WH
5.610367526227967e-16,7.565145483498757e-16,8.265288792104654e-16,1.8395580779595748e-15,165,Mandarin,Y/N
2.794287311110319e-15,2.404128365386282e-15,1.5174157462574024e-15,1.4687104225548855e-15,166,Mandarin,WH
2.1182864138458303e-16,3.0075652872263e-16,2.8827540323659134e-16,5.030491942856171e-16,167,Mandarin,Y/N
6.967546702576975e-17,9.592777525166044e-17,1.3694822049584995e-16,1.7648549346207948e-16,168,Mandarin,WH
4.207464211786895e-16,4.1480786880686713e-16,4.003359113615365e-16,4.2545032210314733e-16,169,Mandarin,Y/N
1.3431711456501364e-15,1.3267204793273642e-15,1.5220500680231039e-15,2.2414392420922375e-15,170,Mandarin,WH
1.6578020079449578e-16,2.4799259065282257e-16,1.9962230688971645e-16,3.11290623007606e-16,171,Mandarin,Y/N
2.7473303252728456e-15,1.8957349039907235e-15,2.6584374172036813e-15,4.3851087467084165e-15,172,Mandarin,Y/N
4.534438214661881e-16,5.420662772373105e-16,6.299210477936726e-16,3.3353541684414467e-16,173,Mandarin,Y/N
9.53049612087993e-16,1.5955291435984114e-15,1.3464418014821262e-15,2.5824236225238926e-15,174,Mandarin,WH
2.14512212469211e-15,1.4615880663746902e-15,1.1111745634007634e-15,1.505995371550548e-15,175,Mandarin,WH
3.9874246235192543e-16,2.5540734666658026e-16,5.073605684482273e-16,4.3190123705273317e-16,176,Mandarin,Y/N
1.1080408402228745e-15,1.2087631252163618e-15,1.0849626702144117e-15,1.0968756542721377e-15,177,Mandarin,WH
2.6412751766653677e-15,2.9976243362925723e-15,2.531298310256525e-15,6.437803840559791e-15,178,Mandarin,Y/N
5.458057878404839e-16,3.836703478250137e-16,4.0954366406313166e-16,2.628350847335013e-16,179,Mandarin,Y/N
9.940019257716106e-17,1.2014689304442174e-16,2.1057737206100652e-16,2.373410396038003e-16,180,Mandarin,WH
1.90739050593246e-19,3.5852903209889695e-19,2.9252144605676703e-19,2.75781355550384e-19,181,Mandarin,WH
3.9373101187891857e-16,3.8154310229862917e-16,5.625032136622935e-16,3.1490998254980535e-16,182,English,WH
2.5527513928966744e-15,2.1180846269538683e-15,2.8481953798345633e-15,4.265526694204905e-15,183,English,Y/N
2.33238558101801e-15,1.518096488289965e-15,1.21833129890406e-15,1.0112548733628653e-15,184,English,WH
1.1702548172392848e-15,9.280777592186712e-16,7.624713615162557e-16,1.2254035751234468e-15,185,Mandarin,WH
5.925218015252253e-20,4.853340517533459e-20,1.025706802910497e-19,2.851703786665386e-22,186,English,Y/N
1.0558114781635395e-15,1.2082487970167366e-15,1.3762125050191751e-15,2.4483273924125096e-15,187,English,Y/N
7.414882653398615e-18,2.742601497883842e-18,2.5789400802321125e-18,7.069462303280733e-19,188,English,WH
2.3060667793627087e-15,2.06150747914588e-15,1.0966502314662896e-15,1.861564477926241e-15,189,English,WH
4.595057622477489e-17,1.834888136242365e-17,4.347053310355868e-17,1.1229049375118598e-17,190,English,Y/N
6.415282592585079e-17,3.424488334508684e-17,1.0989892683600601e-17,3.1830019418867866e-18,191,English,WH
9.892916584686267e-18,2.0837840977468917e-17,8.296466782719637e-18,1.3009505995062316e-17,192,English,WH
9.636551304512038e-19,4.8576848340407974e-18,1.0829202912139324e-18,7.416451177335824e-19,193,English,Y/N
1.5125895421319396e-16,2.0006024677918285e-16,1.6941188627632168e-16,2.5490780686637946e-16,194,English,WH
1.9209515569105205e-18,5.141573152210813e-18,1.8573718312728957e-18,3.5342294932458464e-18,195,English,Y/N
3.172500591627891e-17,6.024522490312655e-17,2.0761645670269812e-17,3.3462793756995626e-17,196,English,Y/N
9.964587340396031e-18,1.6432141806531954e-17,7.565183443730166e-18,4.684671626605621e-18,197,English,Y/N
2.569859513379748e-17,8.892617642792074e-17,5.0032956990130194e-17,1.1777381861349008e-16,198,English,WH
1.8695480639336355e-17,4.478201423510878e-17,3.601189456779112e-17,6.605124440093953e-17,199,English,WH
1.735127220496363e-17,2.5917874516187867e-17,3.649640193283248e-17,3.1526558770202975e-17,200,English,WH
5.510654169703234e-17,9.524201968066339e-17,4.722419876896699e-17,2.571545020514338e-17,201,English,Y/N
9.164023676783351e-17,1.441892226635655e-16,6.474348596888312e-17,1.1213145564112207e-16,202,English,Y/N
4.391721901587161e-16,1.777557669342377e-16,2.872928766454136e-16,1.6726672380021433e-16,203,English,WH
1.6370571275722523e-17,1.2745311774325801e-17,3.854350802836295e-18,2.108146882522374e-18,204,English,WH
4.756215596707052e-16,5.312259169425033e-16,2.2884351926124024e-16,2.3935308641318443e-16,205,English,WH
5.444281105713173e-16,6.24623431841446e-16,4.568823185840112e-16,8.787369972229148e-16,206,English,Y/N
3.386729678837242e-18,3.926615599085087e-18,7.044013747872836e-18,4.039040901305751e-18,207,English,WH
6.383096197305801e-16,7.714985809691764e-16,6.782609936962898e-16,1.4566936827874792e-15,208,English,WH
2.5983600992566887e-16,3.4155617136158795e-16,3.3342863045379157e-16,4.0030976444248324e-16,209,English,Y/N
4.2942372122406053e-16,4.660224436553788e-16,2.87393106623391e-16,3.4072498087219226e-16,210,English,WH
2.0959307148054042e-16,9.356259481700953e-17,2.42117862691839e-16,2.543816642013738e-16,211,English,WH
9.629992185644883e-18,2.7122832632670715e-17,1.670094511704335e-17,2.143248055033074e-17,212,English,Y/N
3.281901417905812e-18,3.4136322498253556e-18,1.7729000345384024e-18,7.879140410514089e-19,213,English,Y/N
9.937415720217301e-18,8.866951273464888e-18,1.4825174497475474e-17,1.0877012137984451e-17,214,English,WH
5.518566760946607e-16,7.781507542027585e-16,7.409014611496719e-16,1.5503209770670208e-15,215,English,WH
5.045243507080216e-16,7.840512722466523e-16,4.402858422309607e-16,1.2306718279960482e-15,216,English,Y/N
2.7996689626956963e-16,2.8691693575315114e-16,3.3077246532356525e-16,7.241844983555734e-16,217,English,Y/N
1.6789292631535233e-15,1.3885291449025817e-15,1.6752822135677129e-15,2.6747027021720044e-15,218,English,WH
1.5853713345474229e-18,3.033072798741585e-18,9.112757430978384e-19,1.7619559729588652e-19,219,English,WH
1.2084617044834338e-16,1.3589050917936876e-16,8.28689162274171e-17,1.4707824730534597e-16,220,English,WH
2.268178849141193e-15,1.5223134359282284e-15,1.2986450131677562e-15,2.074532614369044e-15,221,English,WH
2.154894717295949e-17,3.79671427043356e-17,1.9032177449775285e-17,2.4449453118721883e-17,222,English,Y/N
1.0191947642536397e-17,1.002628271939559e-17,1.7930358093153817e-17,1.359901007793233e-17,223,English,Y/N
1.3754642036646956e-15,1.402505025754729e-15,1.1043795336317218e-15,1.4543607348636323e-15,224,English,WH
2.5245987860301717e-18,4.48128192943103e-19,4.041935640416927e-18,1.2246790124962774e-18,225,English,WH
6.633372094802606e-16,9.44081006150046e-16,5.695824670122811e-16,1.4036643961123387e-15,226,English,Y/N
1.0632796602395147e-16,4.4606962761198955e-17,1.4935609051970222e-16,1.2722590669799004e-16,227,English,WH
2.4767245318883447e-17,2.0089514292594087e-17,4.266924828270039e-17,5.004576730352523e-17,228,English,WH
1.7905089517687734e-15,1.8041721089520428e-15,1.571685954413743e-15,3.3147424834068866e-15,229,English,WH
1.1647817670872474e-16,1.7181198069050293e-16,1.1691763972197213e-16,8.215208074093096e-17,230,English,Y/N
3.2223131983783906e-16,3.471404003753414e-16,6.820933153164156e-16,7.723867186731772e-16,231,English,Y/N
2.321079329663078e-16,3.6877336796400144e-16,2.4992550630656056e-16,4.530874410446177e-16,232,English,Y/N
8.074696469343483e-17,5.353453600149374e-17,6.922500474777409e-17,6.317564948088047e-17,233,English,WH
6.965992498646006e-17,1.9167115437276233e-16,6.538293754126604e-17,3.2512054744750856e-17,234,English,WH
1.1180285811824297e-18,4.047016107893832e-18,2.2097653538133093e-18,1.3300013031533904e-18,235,English,WH
3.043715723033348e-16,2.334667608087699e-16,3.3617658207781525e-16,1.7711485884839156e-16,236,English,Y/N
8.731990977459903e-18,7.226600315247604e-18,1.1735947740394868e-17,4.780873496648495e-18,237,English,Y/N
2.1908104367470428e-17,3.072975632547778e-17,2.606498371958538e-17,3.8555698585546576e-17,238,English,WH
1.638450882806623e-18,2.286946105741906e-19,4.6051636226155535e-19,4.7007762968668974e-20,239,English,WH
4.531728408147785e-18,4.193753126410966e-18,1.270614081795144e-18,4.1975265523693506e-19,240,English,Y/N
4.3981993896628855e-17,6.018790518295886e-17,6.293704671537241e-17,1.3327610477064267e-17,241,English,Y/N
2.1843366095126546e-17,1.0196910134682772e-17,6.53061955671207e-18,1.670598857532648e-18,242,English,Y/N
5.334645979676842e-16,2.1904166183318204e-16,5.563304368851958e-16,8.078004268149796e-16,243,English,WH
8.362122661108283e-18,6.056815752577363e-18,1.1117554957210236e-17,7.010244574608721e-18,244,English,WH
2.2036669578031534e-18,2.353167989963e-18,2.5088489182992007e-18,1.393193758524097e-18,245,English,WH
4.459279008200669e-16,5.337962759753146e-16,1.96482974913131e-16,1.8755232335807567e-16,246,English,Y/N
4.195560365159964e-21,3.673674973293311e-21,1.0473901468952467e-20,1.1136672237501157e-21,247,English,WH
5.9205662667408745e-19,6.00248656352454e-19,1.359777344371021e-18,1.969438293787654e-20,248,English,WH
1.0093113510005592e-15,1.3332718615268958e-15,1.281052135697563e-15,2.8744167177655768e-15,249,English,Y/N
5.534469006574174e-18,5.142245128421109e-18,5.1347280823445695e-18,1.9146725761699055e-18,250,English,Y/N
1.6093948569894323e-17,3.807211002256773e-17,3.032072025552123e-17,3.461479423670973e-17,251,English,WH
3.399428613110864e-16,3.4728016229739667e-16,3.837589901886966e-16,5.130107175484071e-16,252,English,Y/N
